Id_AFAD,Year,Month,Day,Hour,Min,Sec,Ev_Lat,Ev_Lon,Ev_Depth,Ml,StdMl,Rms,Erh,Erz,Gap,Np,Ns,Ntot,CovX,CovY,CovZ,CovT
428352,2019,1,1,2,9,33.89,39.4185,40.5055,15.31,4.25,0.26,0.26,1,1.9,75,17,13,30,0.2,0.8,3.7,3.8
428353,2019,1,1,3,10,16.82,38.609,39.6583,12.69,3.74,0.31,0.2,1.4,1.6,128,12,6,18,0.8,1.1,2.6,2.9
428443,2019,1,2,16,42,10.55,37.5365,38.5142,6.38,2.9,0.18,0.2,1.6,0.3,80,8,8,16,0.4,2.1,0.1,2.2
428493,2019,1,4,1,32,14.73,37.5095,35.6872,9.85,2.97,0.24,0.33,1.1,1.5,72,19,14,33,0.4,0.7,2.3,2.4
428498,2019,1,4,5,10,39.35,37.5222,35.6643,8.34,3.82,0.22,0.24,0.7,0.6,48,25,18,43,0.1,0.4,0.3,0.6
428505,2019,1,4,9,31,9.71,39.0897,40.3025,12.74,3.08,0.3,0.26,1,0.7,81,14,11,25,0.3,0.7,0.5,1
428518,2019,1,4,13,7,30.58,37.5025,35.6855,12.3,3.21,0.28,0.32,1.4,1.8,118,17,13,30,0.4,1.6,3.2,3.6
428528,2019,1,4,15,45,28.87,39.0672,40.3097,15.31,3.41,0.32,0.22,1.3,1.2,75,17,11,28,0.5,1.3,1.4,2
428529,2019,1,4,15,49,1.61,37.6153,38.4705,4.01,3.18,0.23,0.32,1.4,0.8,104,9,8,17,1.2,0.8,0.7,1.6
428549,2019,1,4,21,57,39.74,38.1577,36.1875,12.69,3.82,0.26,0.24,1,1.2,57,27,13,40,0.5,0.5,1.4,1.5
428551,2019,1,4,22,32,45.33,38.1577,36.1947,12.69,2.54,0.2,0.23,1.6,1.5,57,15,11,26,1,1.5,2.4,3
428675,2019,1,6,22,30,48.17,39.1065,40.2845,15.86,2.62,0.23,0.19,1.2,0.7,84,14,13,27,0.6,0.8,0.5,1.1
428711,2019,1,7,13,31,30.45,38.609,39.6438,12.69,3.72,0.3,0.24,1.2,1.8,63,15,11,26,0.7,0.6,3.1,3.2
428787,2019,1,9,0,14,9.25,39.1572,41.1647,13.38,3.2,0.21,0.18,0.9,1.1,51,16,11,27,0.3,0.5,1.2,1.3
428810,2019,1,9,6,53,38.64,37.5222,35.682,8.73,2.83,0.18,0.21,0.9,0.7,89,10,13,23,0.3,0.5,0.5,0.8
428854,2019,1,10,3,24,53.12,37.002,37.4807,11.11,3.49,0.14,0.3,1,0.8,126,21,21,42,0.3,0.8,0.7,1.1
429083,2019,1,13,7,23,19.9,37.5433,35.7932,19.35,2.77,0.25,0.22,1.1,0.9,81,16,15,31,0.5,0.6,0.8,1.1
429399,2019,1,18,1,43,25.39,37.5532,35.703,8.04,2.94,0.24,0.31,0.9,1.2,58,23,14,37,0.3,0.5,1.3,1.5
429520,2019,1,19,15,33,25.72,37.4927,35.6732,16.38,3.21,0.36,0.3,1,1.3,89,13,12,25,0.3,0.7,1.7,1.9
429777,2019,1,23,12,27,1.99,39.3638,41.1393,25.98,3.48,0.33,0.51,0.9,0.9,76,16,10,26,0.5,0.4,0.9,1.1
429778,2019,1,23,12,31,26.69,39.309,41.1333,10.32,3.56,0.33,0.22,0.7,0.3,61,16,10,26,0.3,0.2,0.1,0.4
429810,2019,1,23,22,23,1.17,38.983,35.784,18.75,3.57,0.35,0.36,0.9,1.4,60,17,15,32,0.5,0.4,1.9,2
429817,2019,1,24,0,23,29.97,39.711,38.888,19.02,3.39,0.18,0.38,1.1,1.2,67,18,20,38,0.7,0.6,1.6,1.8
429851,2019,1,24,15,42,33.98,38.9267,41.5048,2.2,2.91,0.18,0.24,1,2.9,56,16,14,30,0.6,0.5,8.7,8.7
429946,2019,1,26,10,9,29.47,36.6927,36.0348,12.69,3.21,0.51,0.26,1.1,0.5,54,16,16,32,0.5,0.6,0.2,0.8
430074,2019,1,28,15,45,20.48,38.1437,36.2052,14.67,4,0.17,0.2,0.9,0.7,54,25,18,43,0.4,0.4,0.5,0.8
430150,2019,1,29,11,21,1.34,37.1932,36.6865,8.09,2.43,0.23,0.29,1.3,1.2,82,13,18,31,1.1,0.6,1.5,2
430171,2019,1,29,22,7,0.15,39.6395,36.107,14.67,2.78,0.19,0.23,1.9,1.7,204,9,7,16,0.9,2.8,2.8,4
430172,2019,1,29,23,29,14.27,38.1605,36.1982,7,2.73,0.1,0.23,0.8,2.1,57,16,18,34,0.4,0.3,4.4,4.4
430177,2019,1,30,1,56,59.88,38.7523,38.1402,19.02,3.23,0.22,0.2,1.2,1.7,106,13,9,22,0.7,0.7,2.8,2.9
430335,2019,2,1,19,59,47.16,37.6842,38.293,12.15,3.25,0.17,0.19,1.1,1,145,9,8,17,0.6,0.5,1.1,1.4
430348,2019,2,1,23,34,38.65,39.4607,38.8972,8.29,2.87,0.15,0.16,0.5,0.4,67,17,16,33,0.1,0.1,0.1,0.2
430345,2019,2,2,0,35,58.63,39.0925,40.2953,15.71,2.77,0.27,0.2,1.1,1,82,17,10,27,0.2,0.9,1,1.4
430379,2019,2,2,12,20,38.08,37.2762,35.8463,24.44,4.89,0.32,0.27,0.9,0.8,45,28,13,41,0.4,0.5,0.7,1
430389,2019,2,2,17,5,20.3,37.3198,35.841,20.01,2.59,0.23,0.41,1,0.9,47,17,19,36,0.4,0.5,0.8,1
430391,2019,2,2,17,30,4.56,38.152,36.191,14.67,3.15,0.13,0.27,1,1.1,56,20,16,36,0.5,0.5,1.2,1.4
430457,2019,2,4,3,5,35.51,37.0315,36.019,4.01,2.69,0.19,0.49,2.5,1.9,49,23,16,39,3.8,2.3,3.8,5.8
430499,2019,2,4,17,21,7.94,39.5507,38.6542,11.5,4.06,0.23,0.26,0.7,0.6,74,18,17,35,0.3,0.2,0.4,0.6
430500,2019,2,4,18,28,9.56,39.6435,39.7282,10.42,3.69,0.28,0.24,0.8,0.8,58,18,15,33,0.4,0.2,0.7,0.8
